titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0004231	4	Avelín torero	ES	\N	alternative	\N	0
tt0004231	5	Linito por el toreo	ES	\N	alternative	\N	0
tt0004270	2	La lucha contra el destino	ES	\N	imdbDisplay	\N	0
tt0004277	14	Mabel y el auto infernal	ES	\N	\N	\N	0
tt0004277	6	Mabel al volante	ES	\N	\N	\N	0
tt0004280	12	Charlot y las salchichas	ES	\N	\N	reissue title	0
tt0004280	15	Mabel, vendedora ambulante	ES	\N	\N	\N	0
tt0004282	18	Charlot, en la vida conyugal	ES	\N	\N	\N	0
tt0004284	15	Aventuras extraordinarias de Mabel	ES	\N	\N	\N	0
tt0004284	19	Charlot en el hotel	ES	\N	\N	reissue title	0
tt0004288	4	Haciendo por la vida	ES	\N	\N	\N	0
tt0004288	6	Charlot, periodista	ES	\N	\N	\N	0
tt0004288	9	Charlot, reportero	ES	\N	\N	\N	0
tt0004290	2	La malquerida	ES	\N	imdbDisplay	\N	0
tt0004336	2	El misterio del millón de dólares	ES	\N	\N	\N	0
tt0004345	1	Misterio de dolor	ES	\N	imdbDisplay	\N	0
tt0004366	1	Los muertos hablan	ES	\N	imdbDisplay	\N	0
